"";"cena";"waluta";"Oferta.od";"Kategoria";"Marka.pojazdu";"Model.pojazdu";"Generacja";"Rok.produkcji";"Przebieg";"Pojemnoœæ.skokowa";"Rodzaj.paliwa";"Moc";"Skrzynia.biegów";"Napêd";"Typ";"Liczba.drzwi";"Liczba.miejsc";"Kolor";"Metalik";"Faktura.VAT";"Kraj.pochodzenia";"Pierwszy.w³aœciciel";"Serwisowany.w.ASO";"Stan";"VIN";"Wersja";"Emisja.CO2";"VAT.mar¿a";"Mo¿liwoœæ.finansowania";"Bezwypadkowy";"Okres.gwarancji.producenta";"lub.do..przebieg.km.";"Pierwsza.rejestracja";"Zarejestrowany.w.Polsce";"Per³owy";"Numer.rejestracyjny.pojazdu";"Leasing";"Gwarancja.dealerska..w.cenie.";"Tuning";"Filtr.cz¹stek.sta³ych";"Uszkodzony";"Miesiêczna.rata";"Akryl..niemetalizowany.";"Homologacja.ciê¿arowa";"Kierownica.po.prawej..Anglik.";"Op³ata.pocz¹tkowa";"Liczba.pozosta³ych.rat";"Wartoœæ.wykupu";"Var.26";"Var.27";"Var.28";"Var.29";"Var.30";"Var.31";"Var.32";"Var.33";"Var.25";"Var.34";"Var.35";"Matowy";"Zarejestrowany.jako.zabytek";"Warranty.if.agreed.with.the.buyer"
"11";45500;"PLN";"Firmy";"Osobowe";"Kia";"Rio";"IV (2017-)";2019;"29 067 km";"1 248 cm3";"Benzyna";"84 KM";"Manualna";"Na przednie ko³a";"Auta ma³e";5;5;"Bia³y";NA;"Tak";NA;NA;"Tak";"U¿ywane";"Wyœwietl VIN";NA;"136 g/km";NA;"Tak";"Tak";NA;NA;"01/10/2019";"Tak";NA;NA;"Tak";"60 miesiêcy";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"12";83900;"PLN";"Firmy";"Osobowe";"Kia";"XCeed";NA;2019;"41 526 km";"1 353 cm3";"Benzyna";"140 KM";"Automatyczna";"Na przednie ko³a";"SUV";5;5;"Niebieski";NA;"Tak";NA;NA;"Tak";"U¿ywane";"Wyœwietl VIN";NA;"160 g/km";NA;"Tak";"Tak";NA;NA;"01/12/2019";"Tak";NA;NA;"Tak";"60 miesiêcy";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"13";15400;"PLN";"Osoby prywatnej";"Osobowe";"Kia";"Ceed";"I (2006-2012)";2008;"160 000 km";"1 582 cm3";"Diesel";"90 KM";"Manualna";"Na przednie ko³a";"Auta miejskie";5;5;"Czarny";"Tak";NA;"Niemcy";NA;"Tak";"U¿ywane";"Wyœwietl VIN";"1.6 CRDi";"126 g/km";NA;NA;"Tak";NA;NA;NA;NA;"Tak";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"14";47800;"PLN";"Osoby prywatnej";"Osobowe";"Kia";"Sportage";"III (2010-2015)";2014;"140 000 km";"1 685 cm3";"Diesel";"115 KM";"Manualna";"Na przednie ko³a";"SUV";5;5;"Szary";"Tak";NA;NA;"Tak";"Tak";"U¿ywane";"Wyœwietl VIN";NA;"139 g/km";"Tak";NA;"Tak";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"15";47999;"PLN";"Firmy";"Osobowe";"Kia";"Ceed";"II (2012-)";2018;"30 091 km";"1 582 cm3";"Diesel";"110 KM";"Manualna";"Na przednie ko³a";"Coupe";5;5;"Bia³y";NA;NA;"Belgia";"Tak";"Tak";"U¿ywane";"Wyœwietl VIN";NA;NA;"Tak";NA;"Tak";NA;NA;"05/05/2018";NA;"Tak";NA;NA;NA;"Tak";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"16";23900;"PLN";"Osoby prywatnej";"Osobowe";"Kia";"Venga";NA;2011;"77 000 km";"1 396 cm3";"Benzyna";"90 KM";"Manualna";"Na przednie ko³a";"Kompakt";5;5;"Be¿owy";NA;NA;"Polska";NA;NA;"U¿ywane";"Wyœwietl VIN";"1.4 CVVT";"140 g/km";NA;NA;NA;NA;NA;"19/04/2012";NA;NA;"WW3174T";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"17";21999;"PLN";"Firmy";"Osobowe";"Kia";"Ceed";"I (2006-2012)";2010;"64 121 km";"1 591 cm3";"Benzyna";"122 KM";"Manualna";NA;"Kompakt";5;5;"Srebrny";"Tak";"Tak";"Polska";"Tak";"Tak";"U¿ywane";"Wyœwietl VIN";NA;NA;NA;"Tak";NA;NA;NA;NA;"Tak";"Tak";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"18";119999;"PLN";"Osoby prywatnej";"Osobowe";"Kia";"Sorento";"III (2015-)";2019;"18 000 km";"2 199 cm3";"Diesel";"200 KM";"Automatyczna";"4x4 (do³¹czany automatycznie)";"SUV";5;7;"Szary";"Tak";NA;NA;NA;NA;"U¿ywane";"Wyœwietl VIN";"2.2 CRDI GT Line";NA;NA;NA;NA;NA;NA;NA;NA;"Tak";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"19";18300;"PLN";"Osoby prywatnej";"Osobowe";"Kia";"Sportage";"II (2004-2010)";2006;"276 000 km";"1 975 cm3";"Benzyna+LPG";"142 KM";"Manualna";"4x4 (do³¹czany rêcznie)";"SUV";5;5;"Niebieski";NA;NA;NA;"Tak";NA;"U¿ywane";"Wyœwietl VIN";NA;NA;NA;NA;NA;NA;NA;"16/02/2006";"Tak";NA;"CT0215M";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"20";39899;"PLN";"Firmy";"Osobowe";"Kia";"Ceed";NA;2016;"116 284 km";"1 582 cm3";"Diesel";"110 KM";"Manualna";"Na przednie ko³a";"Kombi";5;5;"Szary";NA;"Tak";NA;NA;"Tak";"U¿ywane";"Wyœwietl VIN";NA;"104 g/km";NA;"Tak";"Tak";NA;NA;"01/09/2016";"Tak";NA;NA;"Tak";"29 miesiêcy";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"21";43900;"PLN";"Osoby prywatnej";"Osobowe";"Kia";"Sportage";"III (2010-2015)";2010;"228 400 km";"1 998 cm3";"Diesel";"136 KM";"Automatyczna";"4x4 (do³¹czany automatycznie)";"SUV";5;5;"Br¹zowy";"Tak";NA;"Francja";NA;NA;"U¿ywane";"Wyœwietl VIN";"2.0 CRDI XL";"179 g/km";NA;NA;"Tak";NA;NA;"29/11/2010";"Tak";NA;"RZ0260S";NA;NA;NA;"Tak";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"22";52000;"PLN";"Osoby prywatnej";"Osobowe";"Kia";"Sportage";"III (2010-2015)";2012;"180 000 km";"1 995 cm3";"Diesel";"183 KM";"Automatyczna";"4x4 (do³¹czany automatycznie)";"SUV";5;5;"Br¹zowy";"Tak";NA;"Niemcy";NA;"Tak";"U¿ywane";"Wyœwietl VIN";"2.0 CRDI XL AWD";NA;NA;NA;"Tak";NA;NA;NA;NA;NA;"GT826P";NA;NA;NA;"Tak";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"23";59900;"PLN";"Osoby prywatnej";"Osobowe";"Kia";"Sportage";"III (2010-2015)";2015;"102 000 km";"1 998 cm3";"Benzyna";"166 KM";"Manualna";"Na przednie ko³a";"SUV";5;5;"Inny kolor";"Tak";NA;"Niemcy";NA;"Tak";"U¿ywane";"Wyœwietl VIN";NA;"154 g/km";NA;"Tak";"Tak";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"24";34900;"PLN";"Osoby prywatnej";"Osobowe";"Kia";"Rio";"IV (2017-)";2017;"149 000 km";"1 248 cm3";"Benzyna+LPG";"84 KM";"Manualna";"Na przednie ko³a";"Kompakt";5;5;"Niebieski";"Tak";"Tak";"Polska";"Tak";NA;"U¿ywane";"Wyœwietl VIN";"1.2 L";"115 g/km";NA;NA;NA;NA;NA;NA;"Tak";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"25";25900;"PLN";"Firmy";"Osobowe";"Kia";"Rio";"III (2011-)";2013;"97 147 km";"1 248 cm3";"Benzyna";"85 KM";"Manualna";"Na przednie ko³a";"Auta miejskie";5;5;"Bia³y";NA;NA;NA;NA;NA;"U¿ywane";"Wyœwietl VIN";NA;NA;"Tak";"Tak";"Tak";NA;NA;NA;NA;NA;NA;"Tak";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"26";26900;"PLN";"Firmy";"Osobowe";"Kia";"Venga";NA;2012;"101 964 km";"1 396 cm3";"Benzyna";"90 KM";"Manualna";"Na przednie ko³a";"Minivan";5;5;"Szary";NA;NA;NA;NA;NA;"U¿ywane";"Wyœwietl VIN";NA;NA;"Tak";"Tak";"Tak";NA;NA;NA;NA;NA;NA;"Tak";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"27";49950;"PLN";"Osoby prywatnej";"Osobowe";"Kia";"Sportage";"III (2010-2015)";2013;"114 000 km";"1 685 cm3";"Diesel";"115 KM";"Manualna";"Na przednie ko³a";"SUV";5;5;"Bia³y";NA;NA;"Niemcy";NA;"Tak";"U¿ywane";"Wyœwietl VIN";"1.7 CRDI XL 2WD";"139 g/km";"Tak";"Tak";"Tak";NA;NA;NA;"Tak";NA;"WPL68004";NA;NA;NA;"Tak";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"28";81990;"PLN";"Firmy";"Osobowe";"Kia";"Sportage";"IV (2016-)";2019;"28 036 km";"1 591 cm3";"Benzyna";"177 KM";"Manualna";"Na przednie ko³a";"SUV";5;5;"Srebrny";"Tak";"Tak";"Polska";"Tak";"Tak";"U¿ywane";"Wyœwietl VIN";"1.6 T-GDI L 2WD";"169 g/km";NA;"Tak";"Tak";NA;NA;NA;NA;NA;NA;"Tak";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"29";18800;"PLN";"Osoby prywatnej";"Osobowe";"Kia";"Rio";"III (2011-)";2011;"180 000 km";"1 248 cm3";"Benzyna";"85 KM";"Manualna";"Na przednie ko³a";"Auta miejskie";5;5;"Czarny";"Tak";NA;"Polska";"Tak";"Tak";"U¿ywane";"Wyœwietl VIN";"1.2 L";"114 g/km";"Tak";NA;"Tak";NA;NA;NA;"Tak";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"30";24900;"PLN";"Osoby prywatnej";"Osobowe";"Kia";"Venga";NA;2013;"192 000 km";"1 396 cm3";"Benzyna";"90 KM";"Manualna";"Na przednie ko³a";"Minivan";5;5;"Szary";NA;NA;NA;"Tak";NA;"U¿ywane";"Wyœwietl VIN";"1.4 Business Line";"140 g/km";"Tak";NA;"Tak";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"31";30900;"PLN";"Osoby prywatnej";"Osobowe";"Kia";"Ceed";"II (2012-)";2015;"158 000 km";"1 582 cm3";"Diesel";"110 KM";"Manualna";"Na przednie ko³a";"Kompakt";5;5;"Bia³y";NA;"Tak";"Polska";"Tak";"Tak";"U¿ywane";"Wyœwietl VIN";"Cee'd 1.6 CRDi XL";"113 g/km";NA;"Tak";"Tak";NA;NA;"01/09/2014";"Tak";NA;"WPR 5445H";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"32";65999;"PLN";"Firmy";"Osobowe";"Kia";"Ceed";"III (2018-)";2018;"72 000 km";"1 353 cm3";"Benzyna";"140 KM";"Automatyczna";"Na przednie ko³a";"Kombi";5;5;"Szary";"Tak";"Tak";"Polska";"Tak";"Tak";"U¿ywane";"Wyœwietl VIN";"1.4 T-GDI GT-Line DCT";NA;NA;NA;"Tak";NA;NA;NA;"Tak";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"33";24900;"PLN";"Osoby prywatnej";"Osobowe";"Kia";"Sportage";"II (2004-2010)";2009;"186 000 km";"1 991 cm3";"Diesel";"140 KM";"Manualna";"4x4 (do³¹czany automatycznie)";"SUV";5;5;"Czarny";NA;NA;"Niemcy";NA;"Tak";"U¿ywane";"Wyœwietl VIN";NA;"150 g/km";"Tak";"Tak";"Tak";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"34";18900;"PLN";"Osoby prywatnej";"Osobowe";"Kia";"Pro_cee'd";NA;2010;"195 000 km";"1 591 cm3";"Benzyna";"125 KM";"Manualna";"Na przednie ko³a";"Coupe";3;5;"Szary";"Tak";NA;"Niemcy";NA;"Tak";"U¿ywane";"Wyœwietl VIN";"Pro Ceed 1.6 CVVT";"149 g/km";"Tak";"Tak";"Tak";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"35";35900;"PLN";"Firmy";"Osobowe";"Kia";"Ceed";"II (2012-)";2013;"104 237 km";"1 582 cm3";"Diesel";"110 KM";"Manualna";"Na przednie ko³a";"Kombi";5;5;"Czarny";NA;NA;NA;NA;NA;"U¿ywane";"Wyœwietl VIN";NA;NA;"Tak";"Tak";"Tak";NA;NA;NA;NA;NA;NA;"Tak";NA;NA;"Tak";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"36";64999;"PLN";"Firmy";"Osobowe";"Kia";"Ceed";NA;2019;"29 985 km";"1 353 cm3";"Benzyna";"140 KM";"Manualna";"Na przednie ko³a";"Kompakt";5;5;"Szary";"Tak";"Tak";"Polska";"Tak";"Tak";"U¿ywane";"Wyœwietl VIN";NA;NA;NA;"Tak";"Tak";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"37";38900;"PLN";"Osoby prywatnej";"Osobowe";"Kia";"Ceed";"II (2012-)";2017;"126 211 km";"1 368 cm3";"Benzyna";"100 KM";"Manualna";"Na przednie ko³a";"Kombi";5;5;"Czarny";"Tak";NA;NA;NA;"Tak";"U¿ywane";"Wyœwietl VIN";NA;NA;"Tak";"Tak";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"38";33900;"PLN";"Osoby prywatnej";"Osobowe";"Kia";"Ceed";"II (2012-)";2013;"126 500 km";"1 582 cm3";"Diesel";"128 KM";"Manualna";"Na przednie ko³a";"Kompakt";5;5;"Srebrny";"Tak";NA;"Niemcy";"Tak";"Tak";"U¿ywane";"Wyœwietl VIN";"1.6 CRDi 128";"117 g/km";"Tak";NA;"Tak";NA;NA;"21/05/2013";"Tak";NA;NA;NA;NA;NA;"Tak";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"39";37400;"PLN";"Firmy";"Osobowe";"Kia";"Venga";NA;2015;"103 800 km";"1 591 cm3";"Benzyna";"125 KM";"Manualna";"Na przednie ko³a";"Minivan";5;5;"Br¹zowy";NA;NA;"Polska";NA;"Tak";"U¿ywane";"Wyœwietl VIN";NA;NA;"Tak";"Tak";"Tak";NA;NA;"28/05/2015";"Tak";NA;"PZ637MS";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"40";20500;"PLN";"Osoby prywatnej";"Osobowe";"Kia";"Rio";"IV (2017-)";2017;"59 000 km";"1 396 cm3";"Diesel";"77 KM";"Manualna";"Na przednie ko³a";"Auta miejskie";5;5;"Bia³y";NA;NA;"Dania";NA;"Tak";"U¿ywane";"Wyœwietl VIN";"1.4 CRDI 77";"92 g/km";"Tak";NA;NA;NA;NA;"15/06/2017";NA;NA;NA;NA;NA;NA;NA;"Tak";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"41";41900;"PLN";"Firmy";"Osobowe";"Kia";"Ceed";"II (2012-)";2012;"140 480 km";"1 591 cm3";"Benzyna";"135 KM";"Automatyczna";"Na przednie ko³a";"Kombi";5;5;"Szary";"Tak";"Tak";"Polska";"Tak";NA;"U¿ywane";"Wyœwietl VIN";"1.6 GDI DCT SW";"144 g/km";NA;"Tak";NA;NA;NA;"06/06/2012";"Tak";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"42";16900;"PLN";"Osoby prywatnej";"Osobowe";"Kia";"Rio";"III (2011-)";2011;"136 607 km";"1 120 cm3";"Diesel";"75 KM";"Manualna";"Na przednie ko³a";"Auta miejskie";5;5;"Czarny";NA;NA;"Polska";NA;NA;"U¿ywane";"Wyœwietl VIN";"1.1 crdi M";"99 g/km";NA;NA;"Tak";NA;NA;"04/01/2012";"Tak";NA;"DSWGC02";NA;NA;NA;"Tak";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"43";99000;"PLN";"Firmy";"Osobowe";"Kia";"Sportage";NA;2020;"8 km";"1 591 cm3";"Benzyna";"177 KM";"Manualna";"Na przednie ko³a";"SUV";5;5;"Srebrny";"Tak";"Tak";NA;"Tak";"Tak";"U¿ywane";"Wyœwietl VIN";NA;NA;NA;"Tak";"Tak";NA;NA;"28/10/2020";"Tak";NA;"WPI8739E";"Tak";NA;NA;NA;NA;"589 PLN";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"44";69900;"PLN";"Osoby prywatnej";"Osobowe";"Kia";"Sportage";"IV (2016-)";2018;"24 590 km";"1 591 cm3";"Benzyna";"132 KM";"Manualna";"Na przednie ko³a";"SUV";5;5;"Br¹zowy";"Tak";"Tak";"Polska";"Tak";"Tak";"U¿ywane";"Wyœwietl VIN";"1.6 GDI M 2WD";"156 g/km";NA;NA;"Tak";"13/07/2025";"150 000 km";"11/07/2018";"Tak";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
